Customers 12 
Coordinate X		 Coordinate Y 		Demand 
2.215617310974574  -4.573019635487161  1.7246026177843243  
-0.3033928054482429  4.8759093506007005  0.6558661149577455  
-4.795159064339243  0.037102675823420306  0.21022653062543972  
1.294167698486718  2.640149090349623  1.4990869799773001  
-0.7829686788498238  -0.5679972109578717  63.97856352277631  
4.343688591799509  3.7670097158753286  47.13024498498473  
-3.805260256803856  1.6778785001485632  1.6185359547287579  
1.6578363583204636  3.7743357471123122  0.6727634871163148  
2.586377722893385  -4.853716685762965  0.687975210623496  
3.1674671118704048  0.34085777423693564  1.1878548830936373  
-1.8016534582619004  -0.5621364471294115  1.0239315071605564  
0.7249871927786931  4.265636267427501  1.2789525230792655  
